name,page_link
Авилуна,/residents/aviluna/
АДГ Софт Групп,/residents/adg-soft-grupp/
АИДЛТ БАЙ,/residents/ayti-top-biuay/
Ай Трэйл,/residents/ay-treyl/
АйДиЭф Системз,/residents/aydief-sistemz/
АйДиЭф Технолоджи,/residents/aydief-tehnolodji/
АйТи Синерджи Альянс,/residents/ayti-sinerdzhi-alyans/
АйТиТи Коммуникейшнс,/residents/aytiti-kommunikeyshns/
АйТиЭй Эволюшн,/residents/aytiey-evolyushn/
АйТиЭйч Девелопмент,/residents/aytieych-development/
АйЧусБест,/residents/aychusbest/
АлгоБрейнз Сольюшнз,/residents/algobreynz-solyushnz/
Альторос Бел,/residents/altoros-bel/
АМИС-АйТи,/residents/amis-ayti/
Анализ и Дизайн ИТ,/residents/analiz-i-dizayn-it/
АНС технолоджис,/residents/ans-tekhnolodzhis/
Апафуриус,/residents/apafurius/
АрПиЭс Тек,/residents/arpies-tek/
АРТВОРКАДО,/residents/artvorkado/
Атлантконсалтсофт,/residents/atlantkonsaltsoft/
БАЙТИС,/residents/baytis/
Бамбу Груп,/residents/bambu-grup/
Баттл Хайв,/residents/battl-hayv/
БелБитАльянс,/residents/belbitalyans/
БелХард АИПСИН,/residents/belkhard-aipsin/
БелХард Программинг,/residents/belkhard-programming/
Би Ту Си Сервис,/residents/bi-tu-si-servis/
БигСайтГрупп,/residents/bigsaytgrupp/
Брааво Девелопмент,/residents/braavo-development/
Бримит,/residents/brimit/
Бусел Капитал,/residents/busel-kapital/
БЭКОМП,/residents/bekomp/
ВайдВью Геймз,/residents/vaydvyu-geymz/
Вайплей Медиа,/residents/vaypley-media/
ВДЦЛ,/residents/vdcl/
ВебиКо,/residents/vebiko/
ВелЛабс,/residents/vellabs/
Гамбино,/residents/gambino/
Геймбот,/residents/geymbot/
Геймс Бенд,/residents/geyms-bend/
Гетпрофит,/residents/getprofit/
ГЛОСС Бел Системс,/residents/gloss-bel-sistems/
ГудГеймзСофт,/residents/gudgeymzsoft/
Д энд И сервис групп,/residents/d-end-i-servis-grupp/
ДВИНН Девелопмент,/residents/dvinn-development/
ДЕВСТРИМ,/residents/devstrim/
Девхаб,/residents/devhab/
ДиалМедиа,/residents/dialmedia/
Диннерсофт,/residents/dinnersoft/
ДЛТекст,/residents/dltekst/
Док Тайм,/residents/dok-taym/
ДрайвИТ,/residents/drayvit/
Дримтим Аппс,/residents/drimtim-apps/
Дух Инноваций,/residents/duh-innovaciy/
ДэвТим-Групп,/residents/devtim-grupp/
Е-Вижн,/residents/e-vijn/
Е-ком Технологии,/residents/e-kom-tehnologii/
ЕсАйТи,/residents/esayti/
Зе Вью,/residents/ze-vyu/
Ивашин,/residents/ivashin/
Игро Тэк,/residents/igro-tek/
ИКСПЭЙ,/residents/ikspey/
Имбью Системз,/residents/imbyu-sistemz/
ИнДата Лабс,/residents/indata-labs/
Инкогнио Текнолоджиз,/residents/incognio/
ИНСТЕРРА,/residents/insterra/
Интрахеалс М,/residents/intraheals-m/
Кажигульни,/residents/kazhigulni/
КаргоТрансКонсалт,/residents/kargotranskonsalt/
Кастомгеймзстудио,/residents/kastomgeymzstudio/
Кибертон,/residents/tsifrovaya-farmakologiya/
КлеверДев Софтваре,/residents/kleverdev-softvare/
КОДИВЕНТ,/residents/kodevent/
Кодинга,/residents/kodinga/
Колада Технолоджис,/residents/kolada-tekhnolodzhis/
КометаРад,/residents/kometarad/
КонтактЛайнСервис,/residents/kontaktlaynservis/
КРЕЙТЕКС,/residents/kreyteks/
Кутрит,/residents/kutrit/
Лаборатория блоггеров,/residents/laboratoriya-bloggerov/
Ливмастер,/residents/livmaster/
Линкандо,/residents/linkando/
ЛОППИ ПОППИ,/residents/loppi-poppi/
Майнгольд,/residents/mayngold/
Математические Технологии,/residents/MathTech/
МЕИФ,/residents/mezhdunarodnyy-evraziyskiy-industrialnyy-fond/
Мелиус Софт,/residents/melius-soft/
МОБИДЖИЛИТИ,/residents/mobidzhiliti/
Мобикон-Медиа,/residents/mobikon-media/
Мобильный помощник,/residents/mobilnyy-pomoshchnik/
Мэй Плей,/residents/mey-pley/
Мэйн Плэйер,/residents/meyn-pleyer/
Нескин Геймз,/residents/neskin-geymz/
Нешта Медиа,/residents/neshta-media/
Онлайнер Инжиниринг,/residents/onlayner-injiniring/
Онтид софт,/residents/ontid-soft/
ОПИНОВ8,/residents/opinov8/
Оплати,/residents/oplati/
Платформа образования,/residents/platforma-obrazovaniya/
Плейдей,/residents/pleydey/
ПЛЕЙФОРИЯ,/residents/pleyforiya/
Покет Аппс,/residents/poket-apps/
Прайм Технолоджис,/residents/praym-tekhnolodzhis/
Предизо,/residents/predizo/
ПЦИ Солюшнс,/residents/ptsi-solyushns/
РедАрт,/residents/redart/
Ресторанс консалт энд суппорт,/residents/restorans-konsalt-end-support/
Ригельшторм,/residents/rigelshtorm/
РэдБарк,/residents/redbark/
Сайфек,/residents/sayfek/
Свифт инжиниринг,/residents/svift-inzhiniring/
