name,page_link
«Бравокадо»,/residents/bravokado/
*instinctools,/residents/instinctools/
1С-Битрикс,/residents/1s-bitriks/
4Логист,/residents/4logist/
69 групп,/residents/69-grupp/
7 Бит,/residents/7-bit/
APPSULOVE,/residents/lift-app/
Bamper.by,/residents/valling/
CleverLabs,/residents/kleve-lebs/
EDI-провайдер СТТ | Современные технологии торговли,/residents/sovremennye-tekhnologii-torgovli/
Forte Group,/residents/fordekonsalting/
IBA IT Park,/residents/iba-it-park/
Press Fire Games,/residents/blictim/
А1 ИКТ сервисы,/residents/a1-ikt-servisy/
А2 Консалтинг,/residents/a2-konsalting/
АБФ Программинг,/residents/abf-programming/
Авентус ИТ,/residents/aventus-it/
Авидакэ,/residents/avidake/
Авилуна,/residents/aviluna/
Аврора ТехЛаб,/residents/avrora-tekhlab/
АВТГ,/residents/avtg/
Автоклассифайд,/residents/avtoklassifayd/
Агентство сервисизации и реинжиниринга,/residents/agentstvo-servisizatsii-i-reinzhiniringa/
АГМ Софт,/residents/agm-soft/
АГНТ-ЛАБ,/residents/agnt-lab/
АДАМ Технологии,/residents/adam-tehnologii/
АдатаСофтваре РД,/residents/adatasoftvare-rd/
АДГ Софт Групп,/residents/adg-soft-grupp/
Адмитад,/residents/admitad/
Азати,/residents/azati/
АИДЛТ БАЙ,/residents/ayti-top-biuay/
Аиском,/residents/aiskom/
Ай Ди Эй Технолоджис,/residents/ay-di-ey-tehnolodjis/
Ай Кью Клаш,/residents/ay-kyu-klash/
АЙ ПЭЙ,/residents/ay-pey/
Ай Трэйл,/residents/ay-treyl/
Айбион Технолоджиз,/residents/aybion-tekhnolodzhiz/
АйДиТи Текнолоджиз,/residents/ayditi-teknolodjiz/
АйДиЭф Системз,/residents/aydief-sistemz/
АйДиЭф Технолоджи,/residents/aydief-tehnolodji/
Айдолон,/residents/aydolon/
АйконГеймс,/residents/aykongeyms/
Айконтекст,/residents/konsalt-media-plyus/
Айкью пятьсот,/residents/aykyu-pyatsot/
Аймедиа24,/residents/aymedia24/
Айок,/residents/ayok/
Айолэйн,/residents/ayoleyn/
Айрис Медиа,/residents/ayris-media/
АйСиЭс Бел,/residents/aysies-bel/
Айтакко,/residents/aytakko/
Айти Бэнд Системс,/residents/ayti-bend-sistems/
АйТи Синерджи Альянс,/residents/ayti-sinerdzhi-alyans/
Айтилект,/residents/aytilekt/
АйтиРекс Групп Бел,/residents/aytireks-grupp-bel/
АйТиСаппортМи,/residents/aytisapportmi/
АйТиСофт,/residents/aytisoft/
АйТиТи Коммуникейшнс,/residents/aytiti-kommunikeyshns/
АйТиФарма,/residents/aytifarma/
АйТиЭй Эволюшн,/residents/aytiey-evolyushn/
АйТиЭйч Девелопмент,/residents/aytieych-development/
АйФьючер,/residents/ayfyucher/
АйЧусБест,/residents/aychusbest/
АЙЭМЛЭБ,/residents/ayemleb/
Академ и К,/residents/akadem-i-k/
Аквео,/residents/akveo/
Аквизишн моби,/residents/akvizishn-mobi/
АКДев Групп,/residents/akdev-grupp/
Аксамит Консалтинг,/residents/aksamit-konsalting/
АксамИТ Мобайл Солюшнс,/residents/aksamit-mobayl-solyushns/
Аксиом Коннэктэд,/residents/aksiom-konnekted/
Аксиопея Консалтинг,/residents/aksiopeya-konsalting/
АкссонСофт,/residents/akssonsoft/
Актив АйТи,/residents/aktiv-ayti/
Активные Системы,/residents/aktivnye-sistemy/
Активные технологии,/residents/aktivnye-tehnologii/
АлгоБрейнз Сольюшнз,/residents/algobreynz-solyushnz/
АлексПлей,/residents/alekspley/
Алотек Бел,/residents/alotek-bel/
Алседа Консалтинг,/residents/alseda-konsalting/
Альверден,/residents/alveren/
Альмус,/residents/almus-media-bay/
АльпариГрупп,/residents/alparigrupp/
Альстарк Групп,/residents/alstark-grupp/
Альторос Бел,/residents/altoros-bel/
Альфа Аналитика,/residents/alfa-analitika/
Альфа БИМ инжиниринг,/residents/alfa-bim-inzhiniring/
Альфа Орион,/residents/alfa-orion/
АлюсофтБел,/residents/alyusoftbel/
Амариллис Солюшнс,/residents/amarillis-solyushns/
АмДев,/residents/amdev/
АМИС-АйТи,/residents/amis-ayti/
АМПЕРСАНТ,/residents/ampersant/
Анализ и Дизайн ИТ,/residents/analiz-i-dizayn-it/
Аналитика и мониторинг,/residents/analitika-i-monitoring/
Аналитиум Бай,/residents/analitium-bay/
АндерсенБел,/residents/andersenbel/
АНС технолоджис,/residents/ans-tekhnolodzhis/
Апалон Аппс,/residents/apalon-apps/
Апафуриус,/residents/apafurius/
АПМ2 Студио,/residents/apm2-studio/
Апп продакшн,/residents/appprodakshn/
Аппс Ти,/residents/apps-ti/
Апро Интеллект,/residents/apro-intellekt/
Апстуд БЛР,/residents/apstud-blr/
Ара Софт Групп,/residents/ara-soft-grupp/
АРБИСИ БЕЛ,/residents/arbisi-bel/
Аристек Системс,/residents/aristek-sistems/
Армада Софт,/residents/armada-soft/
АрПиЭс Тек,/residents/arpies-tek/
АРТВОРКАДО,/residents/artvorkado/
Артезио,/residents/artezio/
АртисМедиа,/residents/artismedia/
Артокон,/residents/artokon/
Артокс Лаб,/residents/artoks-lab/
АрхСтройКонсалт,/residents/arkhstroykonsalt/
АСД Лабс,/residents/asd-labs/
Асист-лаб,/residents/asist-lab/
Астерсофт,/residents/astersoft/
Астерус,/residents/asterus/
Атлантконсалтсофт,/residents/atlantkonsaltsoft/
Атлас Акме,/residents/atlas-acme/
Атмсистем,/residents/atmsistem/
Атомикроника,/residents/atomikronika/
Атомикус,/residents/atomikus/
Атэрайс,/residents/aterays/
АФРАНС,/residents/afrans/
Б Софт Лаборатория,/residents/b-soft-laboratoriya/
БадРобот,/residents/badrobot/
Базовый проект,/residents/bazovyy-proekt/
Байлекс Малтимедиа,/residents/bayleks-maltimedia/
Байрил,/residents/bayril/
Байскилз,/residents/bayskilz/
Байт протект,/residents/bayt-protekt/
БайТехСолюшн,/residents/baytehsolyushn/
БАЙТИС,/residents/baytis/
Бамбу Груп,/residents/bambu-grup/
Бануба Девелопмент,/residents/banuba-development/
Баттл Хайв,/residents/battl-hayv/
БД Технологии,/residents/bd-tehnologii/
БелАбат,/residents/belabat/
Беладев,/residents/beladev/
БелБиАйГрупп,/residents/belbiaygrupp/
БелБитАльянс,/residents/belbitalyans/
БелВиртуалГрупп,/residents/belvirtualgrupp/
Белитсофт Интернешнл,/residents/belitsoft-interneshnl/
Белка Геймз,/residents/belka-geymz/
Белко Технолоджис,/residents/belko-tekhnolodzhis/
БелПрайм,/residents/belpraym/
БелСимТех,/residents/belsimtekh/
БелХард АИПСИН,/residents/belkhard-aipsin/
БелХард Девелопмент,/residents/belhard-development/
БелХард Программинг,/residents/belkhard-programming/
Би Ту Си Сервис,/residents/bi-tu-si-servis/
БИ-ЛОДЖИК,/residents/bi-lodjik/
Биайкласт солюшнс,/residents/biayklast-solyushns/
БИВИАР Партнерс,/residents/biviar-partners/
Биггико,/residents/biggiko/
БигСайтГрупп,/residents/bigsaytgrupp/
БиДжи Софт,/residents/bidji-soft/
Бизнес Кванты,/residents/biznes-kvanty/
Бизнес Солюшинс Лаб Бел,/residents/biznes-solyushins-lab-bel/
БизнесПрограммы,/residents/biznesprogrammy/
Биллверк,/residents/billverk/
БИМ Машин,/residents/bim-mashin/
БИНАТОМИК,/residents/binatomik/
БИСМАРТ,/residents/bismart/
БИТ МЕДИА СОФТ,/residents/bit-media-soft/
БИТНЭТ ГРУПП,/residents/bitnet-grupp/
БИТХЭД,/residents/bithed/
БЛД Софт,/residents/bld-soft/
БМРЦ,/residents/bmrc/
Бонер,/residents/boner/
Боровой Студио Ворлдвайд,/residents/borovoy-studio-vorldvayd/
Брааво Девелопмент,/residents/braavo-development/
Брайт Солюшенз,/residents/brayt-solyushenz/
Бримит,/residents/brimit/
Булберри,/residents/bulberri/
Бусел Капитал,/residents/busel-kapital/
БЭКОМП,/residents/bekomp/
Ваведа Геймз,/residents/vaveda-geymz/
Вайбер Медиа,/residents/vayber-media/
ВайдВью Геймз,/residents/vaydvyu-geymz/
ВайзорГеймз,/residents/vayzorgeymz/
Вайлд Вей,/residents/vayld-vey/
Ваймикс,/residents/vaymiks/
Вайплей Медиа,/residents/vaypley-media/
Вайс ЭйАй,/residents/vays-eyay/
ВайсВеб,/residents/vaysveb/
Вайсеркет Софтвер Бел,/residents/vayserket-softver-bel/
Вандроука Геймз,/residents/vandrouka-geymz/
ВАСофт,/residents/vasoft/
Ваумэйкинг,/residents/vaumeyking/
ВДЦЛ,/residents/vdcl/
Веб ВИКИ,/residents/veb-viki/
Веб Маркетинг,/residents/veb-marketing/
ВЕБ ПЭЙ,/residents/veb-pey/
ВЕБ-КИБЕРНЕТИКА,/residents/web-cybernetics/
Вебби Технолоджис,/residents/vebbi-tekhnolodzhis/
ВебиКо,/residents/vebiko/
ВебКет,/residents/vebket/
Ведекстим,/residents/vedekstim/
ВелЛабс,/residents/vellabs/
ВЕЛМИ-СМАРТ,/residents/velmi-smart/
Велнатс,/residents/velnats/
ВентМком,/residents/ventmkom/
ВенторТех,/residents/ventorteh/
Вераксен Бел,/residents/veraksen-bel/
ВЕРО Диджитал,/residents/vero-didjital/
Вертик Консалтинг,/residents/vertik-konsalting/
Виавора Консалтинг,/residents/viavora-konsalting/
Виайпи Айти,/residents/viaypi-ayti/
ВИАКОД БЕЛ,/residents/viakod-bel/
Вибэнд,/residents/vibend/
ВИГА Софт,/residents/viga-soft/
ВигбоЛаб,/residents/vigbolab/
Визарт,/residents/vizart/
Визуатика,/residents/vizuatika/
Визутех Плейтинг,/residents/vizuteh-pleyting/
Визутех Систем,/residents/vizuteh-sistem/
