name,page_link,website
«Бравокадо»,/residents/bravokado/,https://bravocado.net
*instinctools,/residents/instinctools/,https://instinctools.com
1С-Битрикс,/residents/1s-bitriks/,http://1c-bitrix.by
4Логист,/residents/4logist/,https://www.4logist.com/
69 групп,/residents/69-grupp/,http://69pixels.com
7 Бит,/residents/7-bit/,https://www.7thbeat.space/
APPSULOVE,/residents/lift-app/,https://www.appsyoulove.com/
Bamper.by,/residents/valling/,https://bamper.by/
CleverLabs,/residents/kleve-lebs/,https://cleverlabs.io/
EDI-провайдер СТТ | Современные технологии торговли,/residents/sovremennye-tekhnologii-torgovli/,https://ctt.by/
Forte Group,/residents/fordekonsalting/,https://fortegrp.com/
IBA IT Park,/residents/iba-it-park/,https://www.ibagroupit.com
Press Fire Games,/residents/blictim/,https://pressfire.games/
А1 ИКТ сервисы,/residents/a1-ikt-servisy/,https://a1data.by/
А2 Консалтинг,/residents/a2-konsalting/,http://a2c.by/
АБФ Программинг,/residents/abf-programming/,https://abfprogramming.com
Авентус ИТ,/residents/aventus-it/,http://aventusgroup.com/
Авидакэ,/residents/avidake/,http://avidacare.ch/
Аврора ТехЛаб,/residents/avrora-tekhlab/,https://aurora-tl.com/
АВТГ,/residents/avtg/,https://awtg.co.uk/
Автоклассифайд,/residents/avtoklassifayd/,https://av.by/
Агентство сервисизации и реинжиниринга,/residents/agentstvo-servisizatsii-i-reinzhiniringa/,https://agsr.by
АГМ Софт,/residents/agm-soft/,http://www.agmsoft.by
АГНТ-ЛАБ,/residents/agnt-lab/,http://agentelab.co
АДАМ Технологии,/residents/adam-tehnologii/,http://adamtech.by
АдатаСофтваре РД,/residents/adatasoftvare-rd/,https://adata.by/
Адмитад,/residents/admitad/,http://www.admitad.com/
Азати,/residents/azati/,https://azati.ai/
Аиском,/residents/aiskom/,http://aisnovations.com
Ай Ди Эй Технолоджис,/residents/ay-di-ey-tehnolodjis/,http://idatech.dev/
Ай Кью Клаш,/residents/ay-kyu-klash/,www.iqdev.by
АЙ ПЭЙ,/residents/ay-pey/,http://ipay-agregator.by/
Айбион Технолоджиз,/residents/aybion-tekhnolodzhiz/,https://aibion.ai/
АйДиТи Текнолоджиз,/residents/ayditi-teknolodjiz/,http://idt.by
Айдолон,/residents/aydolon/,http://www.eidoloncorp.com/
АйконГеймс,/residents/aykongeyms/,http://playstrom.by/
Айконтекст,/residents/konsalt-media-plyus/,https://icontext.by/
Айкью пятьсот,/residents/aykyu-pyatsot/,http://iqd.by/
Аймедиа24,/residents/aymedia24/,https://www.imedia.com/
Айок,/residents/ayok/, https://aioke.io
Айолэйн,/residents/ayoleyn/,https://aiolane.com/
Айрис Медиа,/residents/ayris-media/,http://theiris.io/
АйСиЭс Бел,/residents/aysies-bel/,https://ic-service.by/
Айтакко,/residents/aytakko/,http://itacco.by
Айти Бэнд Системс,/residents/ayti-bend-sistems/,http://it-band.by/
Айтилект,/residents/aytilekt/,http://itlect.com/
АйтиРекс Групп Бел,/residents/aytireks-grupp-bel/,http://www.itrexgroup.com/
АйТиСаппортМи,/residents/aytisapportmi/,http://www.itsupportme.by
АйТиСофт,/residents/aytisoft/,http://itsoft.by/
АйТиФарма,/residents/aytifarma/,http://www.itpharma.by/
АйФьючер,/residents/ayfyucher/,http://ifuture.by/
АЙЭМЛЭБ,/residents/ayemleb/,http://ikassa.by/
Академ и К,/residents/akadem-i-k/,https://eservice.by/
Аквео,/residents/akveo/,http://www.akveo.com
Аквизишн моби,/residents/akvizishn-mobi/,https://acquisition.mobi/
АКДев Групп,/residents/akdev-grupp/,https://akdev.by
Аксамит Консалтинг,/residents/aksamit-konsalting/,https://www.axamit.com/ru
АксамИТ Мобайл Солюшнс,/residents/aksamit-mobayl-solyushns/,https://interexy.com/
Аксиом Коннэктэд,/residents/aksiom-konnekted/,http://axiomconnected.com/
